"","lake","sample","genus","size","size_category"
"1","Lost","ZP7","bosmina",0.5,"small"
"2","Lost","ZP7","daphnia",0.8,"large"
"3","Lost","ZP7","daphnia",1.2,"large"
"4","Lost","ZP7","calanoid",1,"large"
"5","Lost","ZP7","calanoid",2.8,"large"
"6","Lost","ZP7","bosmina",0.4,"small"
"7","Lost","ZP7","daphnia",0.7,"large"
"8","Lost","ZP7","sididae",0.5,"small"
"9","Lost","ZP7","sididae",0.6,"small"
"10","Lost","ZP7","daphnia",1.2,"large"
"11","Lost","ZP7","daphnia",0.8,"large"
"12","Lost","ZP7","daphnia",0.9,"large"
"13","Lost","ZP7","daphnia",0.4,"small"
"14","Lost","ZP7","cyclopoida",0.7,"large"
"15","Lost","ZP7","bosmina",0.3,"small"
"16","Lost","ZP7","daphnia",0.9,"large"
"17","Lost","ZP7","calanoid",0.7,"large"
"18","Lost","ZP7","daphnia",0.8,"large"
"19","Lost","ZP7","daphnia",1,"large"
"20","Lost","ZP7","daphnia",0.7,"large"
"21","Lost","ZP7","daphnia",0.8,"large"
"22","Lost","ZP7","daphnia",0.7,"large"
"23","Lost","ZP7","daphnia",0.9,"large"
"24","Lost","ZP7","daphnia",0.6,"small"
"25","Lost","ZP7","daphnia",0.8,"large"
"26","Lost","ZP7","cyclopoida",0.7,"large"
"27","Lost","ZP7","bosmina",0.4,"small"
"28","Lost","ZP7","cyclopoida",0.5,"small"
"29","Lost","ZP7","daphnia",1.1,"large"
"30","Lost","ZP7","copepod",0.3,"small"
"31","Lost","ZP7","daphnia",0.7,"large"
"32","Lost","ZP7","daphnia",0.5,"small"
"33","Lost","ZP7","rotifer",0.3,"small"
"34","Lost","ZP7","copepod",0.3,"small"
"35","Lost","ZP7","daphnia",0.6,"small"
"36","Lost","ZP7","daphnia",0.7,"large"
"37","Lost","ZP7","copepod",0.3,"small"
"38","Lost","ZP7","bosmina",0.2,"small"
"39","Lost","ZP7","copepod",0.3,"small"
"40","Lost","ZP7","copepod",0.6,"small"
"41","Lost","ZP7","daphnia",0.8,"large"
"42","Lost","ZP7","copepod",0.5,"small"
"43","Lost","ZP7","cyclopoida",0.4,"small"
"44","Lost","ZP7","bosmina",0.3,"small"
"45","Lost","ZP7","bosmina",0.3,"small"
"46","Lost","ZP7","daphnia",1.1,"large"
"47","Lost","ZP7","daphnia",0.8,"large"
"48","Lost","ZP7","daphnia",0.7,"large"
"49","Lost","ZP7","rotifer",0.4,"small"
"50","Lost","ZP7","daphnia",1.5,"large"
"51","Lost","ZP7","bosmina",0.3,"small"
"52","Lost","ZP7","daphnia",1.1,"large"
"53","Lost","ZP7","daphnia",0.9,"large"
"54","Lost","ZP7","daphnia",0.3,"small"
