"Site","Altitude","Subfamily","Tribe","Genus","Taxonomy","1965","2007","SSD_1965","SSD_2007"
"HQ","1440","Desmobathrinae","Desmobathrini","Ozola","Ozola submontana",0.0375218691012706,NA,"FBSSD",NA
"HQ","1440","Ennominae","Baptini","Lomographa","Lomographa luciferata",0.0392905410275994,NA,"FBSSD",NA
"HQ","1440","Ennominae","Baptini","Synegia","Synegia obscura",0.0435191539134958,NA,"FBSSD",NA
"HQ","1440","Ennominae","Baptini","Tasta","Tasta montana",0.0367004128089893,NA,"FBSSD",NA
"HQ","1440","Ennominae","Boarmiini","Alcis","Alcis praevariegata",-0.0111276331177264,-0.0200788414640802,"NSSSD","MBSSD"
"HQ","1440","Ennominae","Boarmiini","Bornealcis","Bornealcis expleta",0.0688768218175628,NA,"FBSSD",NA
"HQ","1440","Ennominae","Boarmiini","Cleora","Cleora mjobergi",0.0667357305358613,NA,"FBSSD",NA
"HQ","1440","Ennominae","Boarmiini","Cleora","Cleora pendleburyi",0.0106884918540674,NA,"NSSSD",NA
"HQ","1440","Ennominae","Boarmiini","Dasyboarmia","Dasyboarmia isorropha",0.0605669814220305,NA,"FBSSD",NA
"HQ","1440","Ennominae","Boarmiini","Diplurodes","Diplurodes submontana",-0.0161649613184121,NA,"NSSSD",NA
"HQ","1440","Ennominae","Boarmiini","Diplurodes","Diplurodes sugillata",0.0583912973501108,NA,"FBSSD",NA
"HQ","1440","Ennominae","Boarmiini","Ectropis","Ectropis pais",-0.0024736970646036,NA,"NSSSD",NA
"HQ","1440","Ennominae","Boarmiini","Lassaba","Lassaba vinacea",0.0364991570028705,NA,"FBSSD",NA
"HQ","1440","Ennominae","Boarmiini","Myrioblephara","Myrioblephara simplaria",0.000416964840128763,NA,"NSSSD",NA
"HQ","1440","Ennominae","Boarmiini","Necyopa","Necyopa ioge",-0.0487580585204404,NA,"MBSSD",NA
"HQ","1440","Ennominae","Boarmiini","Racotis","Racotis boarmiaria",0.0192582082667842,NA,"NSSSD",NA
"HQ","1440","Ennominae","Boarmiini","Ruttellerona","Ruttellerona lithina",0.0214225639625248,NA,"FBSSD",NA
"HQ","1440","Ennominae","Eutoeini","Luxiaria","Luxiaria emphatica",-0.0442891596768123,NA,"MBSSD",NA
"HQ","1440","Ennominae","Eutoeini","Luxiaria","Luxiaria hyalodela",-0.0856904459471831,NA,"MBSSD",NA
"HQ","1440","Ennominae","Eutoeini","Luxiaria","Luxiaria mitorrhaphes",-0.0680266667891232,NA,"MBSSD",NA
"HQ","1440","Ennominae","Eutoeini","Luxiaria","Luxiaria tephrosaria",-0.0668499151840737,NA,"MBSSD",NA
"HQ","1440","Ennominae","Hypochrosini","Heterolocha","Heterolocha polymorphoides",0.0112125382325209,NA,"NSSSD",NA
"HQ","1440","Ennominae","Hypochrosini","Hypochrosis","Hypochrosis binexata",-0.00281255824989822,NA,"NSSSD",NA
"HQ","1440","Ennominae","Hypochrosini","Omiza","Omiza herois",0.111490620038568,NA,"FBSSD",NA
"HQ","1440","Ennominae","Ourapterygini","Ourapteryx","Ourapteryx incaudata",0.073278482493633,NA,"FBSSD",NA
"HQ","1440","Ennominae","Plutodini","Plutodes","Plutodes flavescens",0.0403238270545208,NA,"FBSSD",NA
"HQ","1440","Geometrinae","Geometrini","Comostola","Comostola subtiliaria",0.0802119336007062,NA,"FBSSD",NA
"HQ","1440","Geometrinae","Geometrini","Dindica","Dindica alaopis",0.127098616034642,NA,"FBSSD",NA
"HQ","1440","Geometrinae","Geometrini","Lophophelma","Lophophelma vigens",0.10189102473278,NA,"FBSSD",NA
"HQ","1440","Geometrinae","Geometrini","Maxates","Maxates marculenta",-0.0089868050344911,NA,"NSSSD",NA
"HQ","1440","Geometrinae","Geometrini","Orothalassodes","Orothalassodes glabrosa",0.0150465178211024,NA,"NSSSD",NA
"HQ","1440","Geometrinae","Geometrini","Pelagodes","Pelagodes falsaria",0.0596241506373708,NA,"FBSSD",NA
"HQ","1440","Geometrinae","Geometrini","Spaniocentra","Spaniocentra apatelloides",0.0432598673165018,NA,"FBSSD",NA
"HQ","1440","Geometrinae","Geometrini","Tanaorhinus","Tanaorhinus rafflesii",0.135869581243203,NA,"FBSSD",NA
"HQ","1440","Larentiinae","Eupitheciini","Pasiphila","Pasiphila rufogrisea",-0.0587170737082865,NA,"MBSSD",NA
"HQ","1440","Larentiinae","Eupitheciini","Pomasia","Pomasia salutaris",-0.0362738675434986,-0.00471971224071403,"MBSSD","NSSSD"
"HQ","1440","Larentiinae","Trichopterygini","Tristeirometa","Tristeirometa bostryx",0.0613618390304947,NA,"FBSSD",NA
"HQ","1440","Sterrhinae","Cosymbiini","Chrysocraspeda","Chrysocraspeda remutans",NA,0.0231456648549197,NA,"FBSSD"
