Lake,Sample,genus,size,,
Lost,ZP7,bosmina,0.5,,Note:
Lost,ZP7,daphnia,0.8,,Don't trust my ID
Lost,ZP7,daphnia,1.2,,zp22 measured in zp22b bottle
Lost,ZP7,calanoid,1,,
Lost,ZP7,calanoid,2.8,,
Lost,ZP7,bosmina,0.4,,
Lost,ZP7,daphnia,0.7,,
Lost,ZP7,sididae,0.5,,
Lost,ZP7,sididae,0.6,,
Lost,ZP7,daphnia,1.2,,
Lost,ZP7,Daphnia,0.8,,
Lost,ZP7,daphnia,0.9,,
Lost,ZP7,daphnia,0.4,,
Lost,ZP7,cyclopoida,0.7,,
Lost,ZP7,bosmina,0.3,,
Lost,ZP7,daphnia,0.9,,
Lost,ZP7,calanoid,0.7,,
Lost,ZP7,daphnia,0.8,,
Lost,ZP7,daphnia,1,,
Lost,ZP7,daphnia,0.7,,
Lost,ZP7,daphnia,0.8,,
Lost,ZP7,daphnia,0.7,,
Lost,ZP7,daphnia,0.9,,
Lost,ZP7,daphnia,0.6,,
Lost,ZP7,daphnia,0.8,,
Lost,ZP7,cyclopoida,0.7,,
Lost,ZP7,bosmina,0.4,,
Lost,ZP7,cyclopoida,0.5,,
Lost,ZP7,daphnia,1.1,,
Lost,ZP7,copepod,0.3,,
Lost,ZP7,daphnia,0.7,,
Lost,ZP7,daphnia,0.5,,
Lost,ZP7,rotifer,0.3,,
Lost,ZP7,copepod,0.3,,
Lost,ZP7,daphnia,0.6,,
Lost,ZP7,daphnia,0.7,,
Lost,ZP7,copepod,0.3,,
Lost,ZP7,bosmina,0.2,,
Lost,ZP7,copepod,0.3,,
Lost,ZP7,copepod,0.6,,
Lost,ZP7,daphnia,0.8,,
Lost,ZP7,copepod,0.5,,
Lost,ZP7,cyclopoida,0.4,,
Lost,ZP7,bosmina,0.3,,
Lost,ZP7,bosmina,0.3,,
Lost,ZP7,daphnia,1.1,,
Lost,ZP7,daphnia,0.8,,
Lost,ZP7,daphnia,0.7,,
Lost,ZP7,rotifer,0.4,,
Lost,ZP7,daphnia,1.5,,
Lost,ZP7,bosmina,0.3,,
Lost,ZP7,daphnia,1.1,,
Lost,ZP7,daphnia,0.9,,
Lost,ZP7,daphnia,0.3,,
Lost,ZP7,daphniaa,0.7,,
Lost,ZP7,daphnia,0.7,,
Lost,ZP7,daphnia,0.5,,
Lost,ZP7,daphnia,1.1,,
Lost,ZP7,daphnia,0.6,,
Lost,ZP7,daphnia,0.2,,
Lost,ZP7,copepod,0.6,,
Lost,ZP7,daphnia,0.4,,
Lost,ZP7,daphnia,0.9,,
Lost,ZP7,daphnia,1,,
Lost,ZP7,copepoda,0.2,,
Lost,ZP7,daphnia,0.7,,
Lost,ZP7,rotifer,0.3,,
Lost,ZP7,daphnia,0.6,,
Lost,ZP7,daphnia,0.2,,
Lost,ZP7,daphnia,0.2,,
Lost,ZP7,cyclopoidae,1,,
Lost,ZP7,daphnia,0.6,,
Lost,ZP7,daphnia,0.5,,
Lost,ZP7,daphnia,0.3,,
Lost,ZP7,daphnia,0.3,,
Lost,ZP7,daphnia,0.4,,
Lost,ZP7,calanoid,0.6,,
Lost,ZP7,calanoid,0.3,,
Lost,ZP7,calanoid,0.4,,
Lost,ZP7,calanoid,0.6,,
Lost,ZP7,callanoid,0.2,,
Lost,ZP7,bosmina,0.3,,
Lost,ZP7,daphnia,1,,
Lost,ZP7,daphnia,0.5,,
Lost,ZP7,daphnia,0.8,,
Lost,ZP7,daphnia,0.9,,
Lost,ZP7,daphnia,0.4,,
Lost,ZP7,daphnia,0.7,,
Lost,ZP7,daphnia,1,,
Lost,ZP7,Daphnia,0.4,,
Lost,ZP7,Cyclopoida,0.9,,
Lost,ZP7,bosmina,0.3,,
Lost,ZP7,bosmina,0.3,,
Lost,ZP7,daphnia,0.6,,
Lost,ZP7,daphnia,0.5,,
Lost,ZP7,daphnia,0.2,,
Lost,ZP7,daphnia,0.8,,
Lost,ZP7,cyclopoida,0.7,,
Lost,ZP7,copepod,0.3,,
Lost,ZP7,copepod,0.2,,
Lost,ZP7,bosmina,0.2,,
Lost,ZP7,daphnia,0.6,,
Lost,ZP7,daphnia,0.5,,
Lost,ZP7,rotifer,0.3,,
Lost,ZP7,rotifer,0.2,,
Lost,ZP7,copepod,0.3,,
Lost,ZP7,calanoid,1.2,,
Lost,ZP7,cyclopoida,0.5,,
Lost,ZP7,cyclopoida,0.6,,
Lost,ZP7,ceriodaphnia,0.8,,
Lost,ZP7,calanoid,2,,
Lost,ZP7,calanoidd,0.5,,
Lost,ZP7,ceriodaphnia,1,,
Lost,ZP7,ceriodaphnia,1,,
Lost,ZP7,bosminaa,0.3,,
Lost,ZP7,ceriodaphnia,1,,
Lost,ZP7,ceriodaphnia,0.8,,
Lost,ZP7,calanoid,2,,
Lost,ZP7,bosmina,0.3,,
Lost,ZP7,daphnia,1,,
Lost,ZP7,daphnia,0.6,,
Lost,ZP7,daphnia,1,,
Lost,ZP7,daphnia,1,,
Lost,ZP7,daphnia,0.5,,
Lost,ZP7,Bosmina,0.3,,
Lost,ZP7,Daphnia,1,,
Lost,ZP7,daphnia,1,,
Lost,ZP7,daphnia,1,,
Lost,ZP7,daphnia,0.5,,
Lost,ZP7,daphnia,0.6,,
Lost,ZP7,daphnia,0.7,,
Lost,ZP7,copepod,0.8,,
Green,ZP17,cyclopoida,0.5,,
Green,ZP17,cyclopoida,0.5,,
Green,ZP17,cyclopoida,0.6,,
Green,ZP17,cyclopoida,0.5,,
Green,ZP17,cyclopoida,0.5,,
Green,ZP17,cyclopoida,0.4,,
Green,ZP17,cyclopoida,0.7,,
Green,ZP17,cyclopoida,0.3,,
Green,ZP17,cyclopoida,0.4,,
Green,ZP17,cyclopoida,0.5,,
Green,ZP17,cyclopoida,0.4,,
Green,ZP17,cyclopoida,0.4,,
Green,ZP17,cyclopoida,0.4,,
Green,ZP17,cyclopoida,0.5,,
Green,ZP17,cyclopoida,0.5,,
Green,ZP17,cyclopoida,0.5,,
Green,ZP17,cyclopoida,0.7,,
Green,ZP17,cyclopoida,0.5,,
Green,ZP17,cyclopoida,0.5,,
Green,ZP17,cyclopoida,0.4,,
Green,ZP17,cyclopoida,0.5,,
Green,ZP17,cyclopoida,0.4,,
Green,ZP17,cyclopoida,0.5,,
Green,ZP17,rotifer,0.2,,
Green,ZP17,cyclopoida,0.3,,
Green,ZP17,cyclopoida,0.4,,
Green,ZP17,cyclopoida,0.4,,
Green,ZP17,cyclopoida,0.4,,
Green,ZP17,cyclopoida,0.4,,
Green,ZP17,cyclopoida,0.4,,
Green,ZP17,cyclopoida,0.5,,
Green,ZP17,cyclopoida,0.4,,
Green,ZP17,cyclopoida,0.6,,
Green,ZP17,cyclopoida,0.4,,
Green,ZP17,cyclopoida,0.6,,
Green,ZP17,cyclopoida,0.5,,
Green,ZP17,cyclopoida,0.4,,
Green,ZP17,cyclopoida,0.7,,
Green,ZP17,cyclopoida,0.7,,
Green,ZP17,cyclopoida,0.4,,
Green,ZP17,cyclopoida,0.6,,
Green,ZP17,cyclopoida,0.6,,
Green,ZP17,cyclopoida,0.9,,
Green,ZP17,cyclopoida,0.5,,
Green,ZP17,cyclopoida,0.4,,
Green,ZP17,cyclopoida,0.4,,
Green,ZP17,cyclopoida,0.5,,
Green,ZP17,cyclopoida,0.6,,
Green,ZP17,cyclopoida,0.8,,
Green,ZP17,cyclopoida,0.4,,
Green,ZP17,cyclopoida,0.5,,
Green,ZP17,cyclopoida,0.5,,
Green,ZP17,cyclopoida,0.4,,
Green,ZP17,cyclopoida,0.4,,
Green,ZP17,cyclopoida,0.4,,
Green,ZP17,cyclopoida,0.3,,
Green,ZP17,cyclopoida,0.3,,
Green,ZP17,cyclopoida,0.3,,
Green,ZP17,cyclopoida,0.3,,
Green,ZP17,cyclopoida,0.3,,
Green,ZP17,cyclopoida,0.7,,
Green,ZP17,cyclopoida,0.4,,
Green,ZP17,cyclopoida,0.4,,
Green,ZP17,cyclopoida,0.3,,
Green,ZP17,cyclopoida,0.6,,
Green,ZP17,cyclopoida,0.4,,
Green,ZP17,cyclopoida,0.5,,
Green,ZP17,cyclopoida,0.4,,
Green,ZP17,cyclopoida,0.4,,
Green,ZP17,rotifer,0.1,,
Green,ZP17,rotifer,0.2,,
Green,ZP17,cyclopoida,0.6,,
Green,ZP17,cyclopoida,0.6,,
Green,ZP17,cyclopoida,0.7,,
Green,ZP17,cyclopoida,0.4,,
Green,ZP17,cyclopoida,0.5,,
Green,ZP17,cyclopoida,0.4,,
Green,ZP17,cyclopoida,0.4,,
Green,ZP17,cyclopoida,0.4,,
Green,ZP17,cyclopoida,0.5,,
Green,ZP17,cyclopoida,0.5,,
Green,ZP17,cyclopoida,0.9,,
Green,ZP17,cyclopoida,0.8,,
Green,ZP17,cyclopoida,0.4,,
Green,ZP17,cyclopoida,0.4,,
Green,ZP17,cyclopoida,0.4,,
Green,ZP17,cyclopoida,0.3,,
Green,ZP17,cyclopoida,0.6,,
Green,ZP17,cyclopoida,0.5,,
Green,ZP17,cyclopoida,0.5,,
Green,ZP17,cyclopoida,0.6,,
Green,ZP17,cyclopoida,0.3,,
Green,ZP17,cyclopoida,0.4,,
Green,ZP17,cyclopoida,0.3,,
Green,ZP17,cyclopoida,0.5,,
Green,ZP17,cyclopoida,0.4,,
